127.0.0.1 - - [11/Jan/2022:12:32:01 +0900] "GET / HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:02 +0900] "GET /default.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:04 +0900] "GET /product/sublist.asp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /member/regist_agree.asp HTTP/1.1" 200 280222
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/googleapisicon.css?family=Material+Icons HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/jquery-ui-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/idangerous.swiper.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/commonTotal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /data/sungsimdang/css/common.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/jquery-1.12.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/masonry.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/common.js?v=220107122749 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/embed.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/jquery-ui-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/rollover.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/jquery.bxslider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/NotoSansKR.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /css/nanumgothic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/user_func.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:12:32:05 +0900] "GET /jscript/slick.min.js HTTP/1.1" 304 -
